id,activity_intensity_score,contribution_consistency,repo_creation_rate,recent_activity_ratio,development_velocity,multitasking_score,code_change_rate,language_specialization,language_balance,repo_language_diversity,tech_stack_breadth,avg_languages_per_repo,avg_repo_size,community_engagement_score,collaboration_ratio,fork_contribution_rate,mentorship_score,social_coding_index,network_influence,repo_active_score,showcase_score,maintenance_score,avg_stars_per_repo,max_stars_repo,avg_forks_per_repo,max_forks_repo,public_repo_ratio,project_complexity,code_review_participation,code_review_index,reputation_score,impact_factor,influence_growth_rate,viral_repo_score,leadership_score,profile_completeness,maintainer_score,team_player_score,generalist_score,work_consistency,learning_velocity,innovation_index
thecoop,661,0.5939939296669867,0.0,0.9984894259818731,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1331,1.2259414225941423,4.0,9.292988640814729,0.987765136824567,2.833213344056216,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.47619047619047616,0.7380952379598322,0.6591673732008658,0.0,0.5718762240501372,0.0,0.6666666665186924,1.0,0.0,0.684449093199721,0.0,1.0,0.0,0.0
Tim-Brooks,110,0.5965006344126931,1.0422987685168659,0.9962546816479401,560.5,1.3333333333333335,33.629999999999995,0.7,0.4600000000000001,3.0,4,0.0,69010.4,1146,1.6,2.1176470588235294,2.149741210066036,0.9195155225668971,4.454347296253507,0.11764705882352941,0.5,1.0,2.3,17.0,0.4,2.0,1.0,0.061583853965957,0.6875,0.63483743186337,2.5719181573867065,3.6470588235294117,1.628591825807603,5.151515151515151,0.3181061356979696,1.0,0.47619047619047616,0.6499999997,0.33333333330555553,0.3112431308012099,0.3320848938549729,0.11024851500463423
talevy,0,1.0,2.3544389747071808,0.0,2600.3333333333335,3.0,300.03846153846155,0.4444444444444444,0.7160493827160495,5.0,8,0.0,107715.5,2584,0.0,1.641025641025641,0.0,0.9999999997884534,5.049856007249537,0.0,0.0,1.0,8.8,79.0,2.6,24.0,1.0,0.09365313395827321,0.0,0.0,3.0890336579137747,3.58974358974359,2.2305211339331183,8.061224489795919,0.0,1.0,0.47619047619047616,0.2,0.6666666666111111,0.26267263523203566,0.0,0.2156503495842872
jdconrad,137,0.5774059642203623,0.07036822826296511,0.9927536231884058,96.0,0.35,9.6,1.0,0.0,1.0,5,0.0,1197567.0,1673,2.103448275862069,5.5,3.377674956622325,0.9999999997884534,3.2188758248682006,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.12215713564750202,0.7868852459016393,0.8507994081250734,0.769484807238461,0.0,0.8444187391555813,0.0,0.4998085923383911,1.0,0.08333333333333333,0.6499999997,0.41666666663194446,1.0,0.4136473429606985,0.0
romseygeek,285,0.6491951877283005,0.6770543498423298,0.9965034965034965,1021.3333333333334,1.0,92.84848484848484,0.9,0.17999999999999994,2.0,10,0.0,4470602.7,2440,1.0425531914893618,1.4545454545454546,6.432016323502133,0.9999999997884534,6.3826616834184415,0.36363636363636365,0.0,1.0,61.9,375.0,15.0,82.0,1.0,0.16604532238145486,1.0930232558139534,0.9999999998645942,3.9425605597706683,83.54545454545455,1.8957521795585235,5.961844197138315,0.5499999998520259,1.0,0.47619047619047616,0.5127659572382979,0.8333333332638889,0.34870344947197063,0.8304195803503788,0.5719448514988915
areek,0,1.0,0.12902085542594557,0.0,11197.0,1.2,1526.8636363636365,1.0,0.0,1.0,1,0.0,3946.0,282,0.0,1.3333333333333333,0.0,0.6250123440463141,4.330733340286331,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.44253256765919247,0.0,0.0,1.4208595345183486,0.6666666666666666,2.386885825379993,0.5,0.0,1.0,0.2857142857142857,0.2,0.08333333332638888,1.0,0.0,0.032510513430911596
uboness,70,0.3684360046582838,0.42002301495972383,0.9864864864864865,3191.5,1.0,239.3625,0.6666666666666666,0.4444444444444444,2.0,2,0.0,27916.428571428572,749,0.07575757575757576,1.0,0.0,0.8103608219725629,5.0106352940962555,0.5,0.0,1.0,2.7142857142857144,8.0,0.7142857142857143,3.0,1.0,0.1803050747403281,0.0,0.0,2.518479361729098,3.625,3.9602169981916817,2.1538461538461537,0.0,1.0,0.4375,0.22272727271212123,0.16666666665277777,0.44030103590488023,0.1644144144007132,0.10020413211861122
astefan,333,0.5419387622091497,0.06530685274646628,0.9970059880239521,34.5,0.35,34.5,0.0,0.0,0.0,0,0.0,0.0,1637,3.7419354838709675,2.0,12.212381463589193,0.9976056413063639,3.2188758248682006,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.11931220036942326,2.5972222222222223,0.9999999998645942,0.769484807238461,0.0,0.7836822329575952,0.0,0.5499999998520259,1.0,0.16666666666666666,0.6499999997,0.0,1.0,0.0,0.0
szabosteve,836,0.5940218389204329,0.2972312703583062,0.9989743589743589,261.0,0.43636363636363634,17.4,0.5,0.5,2.0,3,0.0,4927.333333333333,1070,1.6231884057971016,9.0,29.128664495114005,0.9999999997884534,3.5115454388310208,2.5,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.2221432329661264,0.8936170212765957,0.946808510502892,1.0896739325546412,1.5,1.3870792616720955,0.0,0.5499999998520259,1.0,0.21428571428571427,0.6499999997,0.24999999997916666,1.0,0.24974358972277777,0.0
jtibshirani,348,0.5868560489989233,0.5606758832565284,0.9989764585465711,10709.666666666666,0.8125,973.6060606060606,0.2,0.7999999999999999,5.0,9,0.0,351718.85714285716,2469,0.8796296296296297,2.875,11.694096993636164,0.9999999997884534,7.414271631160029,0.875,0.5,1.0,197.85714285714286,1031.0,49.714285714285715,260.0,1.0,0.5477685762267478,1.5208333333333333,0.9999999998645942,4.963419069803475,260.125,17.781435154707044,5.184626436781609,0.7833333331853591,1.0,0.3888888888888889,0.6972222220462962,0.7499999999375,0.33762563004727586,0.7492323438474923,0.8366600264900318
idegtiarenko,644,0.5602917138120319,0.8796811271783463,0.9989754098360656,307.8333333333333,1.3333333333333335,27.16176470588235,0.8,0.33999999999999986,3.0,8,0.0,63877.7,941,1.8103448275862069,0.8571428571428571,21.586021505376344,0.9040681702995126,4.757891273005756,0.14285714285714285,0.6666666666666666,1.0,5.0,22.0,3.1,11.0,1.0,0.07116131312620812,1.6528497409326426,0.9999999998645942,2.813343135155988,8.0,1.4886911383018169,3.6666666666666665,0.6666666665186924,1.0,0.47619047619047616,0.7380952377952381,0.6666666666111111,0.39864548774670094,0.6659836065018784,0.162552567154558
masseyke,617,0.5694989140416485,0.06248929977743537,0.9985693848354793,130.5,0.18333333333333335,18.642857142857142,1.0,0.0,1.0,2,0.0,4499.0,1250,2.347826086956522,5.0,9.748330765279919,0.9501132535033754,3.367295829986474,2.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.23654934553773466,0.5098039215686274,0.7549019606489079,0.812415060330663,0.0,0.8748501968840953,0.0,0.7833333331853591,1.0,0.08333333333333333,0.8833333330333333,0.16666666665277777,1.0,0.1664282307920442,0.0
ChrisHegarty,588,0.6862154701634917,3.1725993377483444,0.9983136593591906,22987.833333333332,0.7777777777777778,1379.27,0.8,0.33999999999999986,3.0,9,0.0,252469220.0,1749,1.2578616352201257,2.4545454545454546,34.74751655629139,0.9999999997884534,7.250990310554167,0.36363636363636365,1.0,1.0,145.2,589.0,35.5,109.0,1.0,0.4966487600616151,1.7037037037037037,0.9999999998645942,4.65862184732739,98.27272727272727,11.3307119205298,4.028727770177839,0.6666666665186924,1.0,0.47619047619047616,0.694025156981132,0.7499999999375,0.43973325490424503,0.7487352444569984,0.8759758609979598
albertzaharovits,156,0.6504680049137196,0.5221745350500715,0.9964285714285714,2211.3333333333335,1.125,442.26666666666665,0.3333333333333333,0.7222222222222222,4.0,6,0.0,22201.285714285714,1740,0.8852459016393442,3.125,3.133047210300429,0.9999999997884534,4.0163830207523885,0.375,0.8333333333333334,1.0,3.2857142857142856,23.0,2.5714285714285716,18.0,1.0,0.1995929614981906,0.9130434782608695,0.8807545082110596,2.2014713181385375,7.375,0.5967708972000817,5.366666666666667,0.4636100086658145,1.0,0.3888888888888889,0.4655737703147541,0.49999999995833333,0.274291885238014,0.4982142856727679,0.11024851500463423
andreidan,102,0.6006852751497137,0.46915167095115684,0.9963898916967509,767.5,1.75,104.6590909090909,0.5714285714285714,0.6122448979591837,4.0,5,0.0,23308.285714285714,1370,1.826086956521739,1.375,2.546823356591994,0.96162902864877,3.5409593240373143,0.125,0.8333333333333334,1.0,0.5714285714285714,3.0,0.14285714285714285,1.0,1.0,0.09600436674572796,0.926829268292683,0.8082692923762214,1.4532374265141534,0.75,1.0053250091810504,1.9090909090909092,0.3768640301806023,1.0,0.3888888888888889,0.6499999997,0.41666666663194446,0.33508544151277975,0.41516245483904934,0.04597680901370784
pgomulka,22,0.7107125242008556,0.6852851443323164,0.9743589743589743,4548.666666666667,1.75,1516.2222222222222,0.8333333333333334,0.2777777777777777,2.0,5,0.0,242861.75,1472,0.875,1.8888888888888888,0.6852851443323164,0.9999999997884534,3.367295829986474,0.1111111111111111,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.4634129419655065,1.3333333333333333,0.5927915843189726,0.812415060330663,0.0,1.1992490025815536,0.0,0.10140448910503147,1.0,0.42105263157894735,0.462499999825,0.41666666663194446,1.0,0.4059829059490741,0.0
danielmitterdorfer,28,0.41048532859718323,1.242905788876277,0.9947089947089947,3285.1666666666665,1.75,209.69148936170217,0.3333333333333333,0.7901234567901234,6.0,12,0.0,36338.8,2609,0.0,1.3157894736842106,1.6572077185017027,0.9999999997884534,5.806639860095909,0.05263157894736842,0.0,1.0,12.0,61.0,4.5,19.0,1.0,0.09172178247017106,24.0,0.7243955396045076,3.594884139445732,11.052631578947368,7.043132803632236,4.6923076923076925,0.36189057590420304,1.0,0.47619047619047616,0.31666666666666665,0.9999999999166667,0.3921430834498604,0.9947089946261022,0.25182535418914637
alpar-t,42,0.5682689972705419,1.3544921875,0.9990319457889641,328.5,1.3333333333333335,28.157142857142855,0.2857142857142857,0.7755102040816326,5.0,8,0.0,42084.6,1516,0.75,1.05,1.568359375,0.9932038621894854,4.52720864451838,0.1,0.5,1.0,10.6,105.0,1.9,19.0,1.0,0.07014603750826645,2.4444444444444446,0.7123649584284456,2.5385229458177863,7.2,0.3564453125,9.051724137931036,0.2320766508223599,1.0,0.47619047619047616,0.42499999985000003,0.6666666666111111,0.24217352396563852,0.666021297137141,0.23668011033396663
joegallo,427,0.5134639138618312,0.9545603138280483,0.9980119284294234,232.83333333333334,0.8571428571428572,19.40277777777778,0.8888888888888888,0.19753086419753085,2.0,8,0.0,101842.7,1041,2.2589285714285716,1.1176470588235294,3.788411245505067,0.9007191331120173,8.987571750367046,0.35294117647058826,0.3333333333333333,1.0,964.9,7292.0,207.3,1598.0,1.0,0.10129615757330161,0.2550607287449393,0.6275303642370639,5.346465254504627,811.4705882352941,2.028440666884603,7.549435759395383,0.5499999998520259,1.0,0.47619047619047616,0.6499999997,0.6666666666111111,0.2963437080949112,0.6653412855641705,0.9999999999473577
przemekwitek,25,0.6380364285252159,0.0,0.9629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,771,1.8333333333333333,6.0,0.8608490566037735,0.9141160658695989,2.833213344056216,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8181818181818182,0.5256548656897129,0.6591673732008658,0.0,0.7651991614255764,0.0,0.12738341039992307,1.0,0.0,0.6499999997,0.0,1.0,0.0,0.0
jakelandis,158,0.5623244395612763,1.3153153153153154,0.9968152866242038,299.5,0.9166666666666667,24.958333333333332,0.5,0.625,3.0,5,0.0,3137.3,2900,1.0789473684210527,2.761904761904762,5.35990990990991,0.9999999997884534,4.584967478670572,0.23809523809523808,0.3333333333333333,1.0,1.5,7.0,0.9,4.0,1.0,0.10022347854368685,2.051282051282051,0.9999999998645942,2.3913621291096376,1.5714285714285714,2.4990990990990993,2.8,0.5499999998520259,1.0,0.47619047619047616,0.5236842103105264,0.41666666663194446,0.38771928637286585,0.4153397027254733,0.08903370781092476
bpintea,428,0.5989547256578601,0.13701201201201202,0.9976689976689976,307.6666666666667,0.5333333333333333,30.76666666666667,0.5,0.5,2.0,5,0.0,7309978.5,1113,2.7096774193548385,3.0,13.632695195195195,0.9347949199387237,4.151039905898646,0.6666666666666666,0.0,1.0,8.5,16.0,16.0,30.0,1.0,0.16314680451501026,1.5307692307692307,0.9999999998645942,1.9823013479981126,27.0,0.205518018018018,1.6842105263157894,0.5499999998520259,1.0,0.16666666666666666,0.6499999997,0.41666666663194446,0.4448724124833352,0.4156954156607744,0.0947836199461838
nielsbauman,618,0.5870007344125742,0.22378908645003065,0.9989701338825953,3793.3333333333335,0.45,284.5,0.5,0.5,2.0,4,0.0,46893.5,518,0.7873134328358209,2.3333333333333335,15.665236051502145,0.9010577254210026,1.6094379124341003,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.32340142234463165,0.693069306930693,0.8465346533299407,0.3295836866004329,0.0,0.22378908645003065,0.0,0.5499999998520259,1.0,0.2,0.4361940296932836,0.33333333330555553,1.0,0.33299004459978254,0.0
danhermann,0,1.0,0.4982254982254982,0.0,1914.6,2.4,165.05172413793105,0.75,0.375,2.0,5,0.0,61876.2,0,0.0,5.5,0.0,0.0,0.6931471805599453,0.0,0.0,1.0,0.4,1.0,0.0,0.0,1.0,0.11729070181363668,0.0,0.0,0.3295836866004329,0.3333333333333333,0.0,0.7142857142857143,0.0,1.0,0.3125,0.2,0.41666666663194446,0.42206445062457554,0.0,0.032510513430911596
henningandersen,194,0.36070160233380877,0.2226967663209274,0.9948717948717949,153.0,0.7,57.375,1.0,0.0,1.0,2,0.0,3458.0,1259,1.1428571428571428,2.0,20.042708968883463,0.9999999997884534,2.917770732084279,0.3333333333333333,0.0,1.0,0.0,0.0,0.5,1.0,1.0,0.11130612345295571,20.0,0.9999999998645942,0.7977968093128549,0.6666666666666666,0.8907870652837095,0.0,0.5499999998520259,1.0,0.2222222222222222,0.5428571426285713,0.16666666665277777,1.0,0.16581196579814814,0.0
luigidellaquila,482,0.6499604694653397,0.5627891039917766,0.9979423868312757,20621.0,1.125,2811.9545454545455,0.5,0.65625,4.0,7,0.0,213382.0,4868,2.126126126126126,1.2,8.5043686825424,0.9999999997884534,5.0072963928307415,0.3,0.0,1.0,2.2222222222222223,17.0,1.2222222222222223,4.0,1.0,0.34400423163555377,0.6868686868686869,0.8434343432989376,2.648478376788155,4.2,3.81445948261093,5.275862068965517,0.7833333331853591,1.0,0.45,0.8833333330333333,0.5833333332847223,0.2846294886572612,0.5821330589363998,0.10280727034317581
GaelTadh,0,1.0,0.07567903794318888,0.8,3.5,0.6,1.75,0.0,0.0,0.0,0,0.0,0.0,60,0.0,18.0,0.0,0.3621949224203949,2.833213344056216,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.015182531261351807,0.0,0.0,0.6591673732008658,0.0,0.605432303545511,0.0,0.0,1.0,0.08333333333333333,0.2,0.0,1.0,0.0,0.0
debadair,0,1.0,0.06170752324598478,0.0,146.5,0.6,24.41666666666666,0.0,0.0,0.0,0,0.0,0.0,570,0.0,19.0,0.0,0.7590970226763334,3.6109179126442243,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.028015299252081093,0.0,0.0,0.883331693749932,0.0,1.110735418427726,0.0,0.0,1.0,0.08333333333333333,0.2,0.0,1.0,0.0,0.0
gwbrown,54,0.5946852839945693,0.546918898670163,0.987012987012987,585.0,1.75,37.340425531914896,0.2857142857142857,0.7755102040816326,5.0,7,0.0,19796.125,1100,2.0833333333333335,1.2222222222222223,1.2305675220078667,0.9190707250094966,3.7256934272366524,0.1111111111111111,0.0,1.0,0.125,1.0,0.0,0.0,1.0,0.06258452776461093,0.72,0.5266259817872392,1.1213008854850104,0.1111111111111111,1.3672972466754074,0.8888888888888888,0.18209218733324833,1.0,0.42105263157894735,0.6499999997,0.5833333332847223,0.2612038765075527,0.575757575709596,0.022988404506853924
craigtaverner,416,0.6536041232523763,1.8014647349148225,0.9979550102249489,1447.1666666666667,1.125,86.83,0.4444444444444444,0.7160493827160495,5.0,9,0.0,187099.4,1174,2.182795698924731,1.1875,7.031523642732049,0.9136924300978826,5.683579767338681,0.09375,0.0,1.0,11.6,30.0,3.0,12.0,1.0,0.13383354121007834,0.7159763313609467,0.8579881655450676,3.484754078776707,5.5,5.520617736029295,2.380952380952381,0.5499999998520259,1.0,0.47619047619047616,0.6499999997,0.7499999999375,0.5023589362658815,0.7484662576063394,0.24759269384496393
gmarouli,333,0.5831280229995108,0.897908979089791,0.9970059880239521,4930.333333333333,1.3333333333333335,591.64,0.14285714285714285,0.8571428571428572,7.0,13,0.0,810495.6,1049,2.2048192771084336,0.7692307692307693,5.200389503895039,0.943133607387708,3.091042453358316,0.15384615384615385,0.0,1.0,0.6,2.0,0.0,0.0,1.0,0.15145565650783982,0.4121212121212121,0.7060606059252003,1.2745485726148078,0.46153846153846156,0.6734317343173432,1.25,0.5499999998520259,1.0,0.47619047619047616,0.6038461535461539,0.9999999999166667,0.41572146579801406,0.9970059879408683,0.056309861042489265
